evc,evh,percent
51,17,0.144456489
60,15,0.144473676
61,15,0.145161154
53,18,0.148615736
76,16,0.15000788
68,21,0.150489115
86,18,0.151640642
58,19,0.152981226
53,16,0.153032787
52,17,0.157346717
82,17,0.159288844
54,18,0.160397404
54,16,0.162837954
64,20,0.165897235
71,22,0.166593307
75,16,0.167899517
59,19,0.170357254
53,17,0.171448626
55,16,0.174808679
69,21,0.178503878
56,16,0.181503004
74,16,0.184716968
54,17,0.185447414
81,17,0.190723814
60,19,0.191531601
65,20,0.192485478
56,18,0.193052648
57,16,0.193731534
85,18,0.19520102
55,17,0.198097024
73,16,0.198784503
72,22,0.198818877
55,18,0.204241366
58,16,0.20424996
70,21,0.210454456
61,19,0.213771542
56,17,0.214020753
57,18,0.21463089
59,16,0.215687889
72,16,0.216203498
60,16,0.222253312
66,20,0.222957977
80,17,0.224315748
71,16,0.227263314
86,22,0.229042165
57,17,0.230245253
58,18,0.230374155
73,22,0.23309829
61,16,0.235607588
70,16,0.238434844
62,19,0.241055857
62,16,0.241296475
84,18,0.241863645
69,16,0.245043235
63,16,0.246804899
71,21,0.246890834
68,16,0.249718091
58,17,0.251058674
64,16,0.252983615
59,18,0.253748435
65,16,0.253928899
66,16,0.255123393
79,17,0.255596035
67,16,0.25740926
67,20,0.259763875
85,22,0.263184082
74,22,0.265659006
59,17,0.265796502
86,21,0.270222147
86,19,0.273358769
63,19,0.273427517
60,18,0.280603077
72,21,0.286188843
78,17,0.286867728
60,17,0.289755139
83,18,0.291989445
75,22,0.297308813
84,22,0.3003595
61,18,0.30637494
68,20,0.308222539
64,19,0.30940844
61,17,0.311127137
77,17,0.318354258
85,21,0.319411257
73,21,0.329809374
62,17,0.331803063
76,22,0.332516322
86,20,0.334303767
85,19,0.334888124
83,22,0.334956872
62,18,0.339485639
82,18,0.340723101
76,17,0.349247838
65,19,0.34937674
69,20,0.354352368
84,21,0.355478115
63,17,0.355890602
77,22,0.361441994
82,22,0.3636763
63,18,0.37104951
74,21,0.373739271
64,17,0.375346253
75,17,0.378010233
87,18,0.379041452
78,22,0.383346788
81,22,0.386698247
79,22,0.391441851
66,19,0.39232698
80,22,0.394561286
65,17,0.395678439
83,21,0.396735438
81,18,0.396786999
74,17,0.397843998
85,20,0.400318921
84,19,0.403395389
64,18,0.40458129
70,20,0.406875751
75,21,0.409470983
66,17,0.415967658
73,17,0.42588454
67,17,0.430610957
82,21,0.431977321
72,17,0.43473583
68,17,0.440699709
67,19,0.44205748
71,17,0.44205748
76,21,0.442676211
69,17,0.449688495
80,18,0.449697088
70,17,0.450616591
81,21,0.457534347
84,20,0.459261637
77,21,0.465320045
71,20,0.466033304
83,19,0.469075398
80,21,0.478029809
66,18,0.482524202
78,21,0.483271835
79,21,0.488462301
68,19,0.495861292
79,18,0.497210469
72,20,0.518384817
83,20,0.520610529
67,18,0.524735402
82,19,0.536517071
78,18,0.543572322
69,19,0.551469735
68,18,0.568502023
73,20,0.571750361
82,20,0.578822799
77,18,0.586488188
69,18,0.594342634
65,18,0.59716989
81,19,0.602111144
70,19,0.606914903
76,18,0.619787944
81,20,0.623818288
74,20,0.625468238
70,18,0.627375991
71,19,0.652236944
71,18,0.653594715
80,19,0.654204853
74,18,0.661431974
80,20,0.664886555
75,20,0.665995114
72,18,0.666364634
73,18,0.667447413
79,20,0.691612294
76,20,0.693219276
79,19,0.702405712
78,20,0.703187719
77,20,0.708532867
72,19,0.713869421
75,18,0.728461159
73,19,0.741944338
78,19,0.743422417
87,19,0.746421544
77,19,0.767389648
74,19,0.768154468
75,19,0.77977286
76,19,0.785057854
87,22,0.836833603
87,21,0.936939114
87,20,1.039003939
